,Address,Price,Size,Max_occupancy
2674,460 Park Avenue South - Office Space,To ask,"15,500",103
2675,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2676,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2677,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2678,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2679,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2680,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2681,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2682,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2683,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2684,330 Hudson Street - 15th Floor,To ask,"17,175",114
2685,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2686,233 Spring Street - 8th Floor,To ask,"13,000",86
2687,71 5th Avenue - 4th Floor,To ask,"15,211",101
2688,40 East 33rd Street - Building Suite,To ask,"14,073",93
2689,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2690,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2691,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2692,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2693,841 Broadway - 7th Floor,To ask,"13,789",91
2694,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2695,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2696,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2697,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2698,460 Park Avenue South - Office Space,To ask,"15,500",103
2699,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2700,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2701,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2702,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2703,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2704,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2705,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2706,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2707,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2708,330 Hudson Street - 15th Floor,To ask,"17,175",114
2709,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2710,233 Spring Street - 8th Floor,To ask,"13,000",86
2711,71 5th Avenue - 4th Floor,To ask,"15,211",101
2712,40 East 33rd Street - Building Suite,To ask,"14,073",93
2713,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2714,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2715,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2716,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2717,841 Broadway - 7th Floor,To ask,"13,789",91
2718,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2719,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2720,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2721,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2722,460 Park Avenue South - Office Space,To ask,"15,500",103
2723,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2724,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2725,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2726,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2727,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2728,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2729,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2730,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2731,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
