,Address,Price,Size,Max_occupancy
0,16 West 22nd Street - 8th Floor,45500,"13,000",86
1,33 East 33rd Street - 6th Floor,48851,"13,027",86
2,6 East 32nd Street - 5th Floor,To ask,"16,000",92
3,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
4,10 West 14th Street - 6th Floor,To ask,"13,191",106
5,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
6,6 East 32nd Street - 4th Floor,To ask,"16,000",103
7,71 5th Avenue - 11th Floor,To ask,"15,238",101
8,71 5th Avenue - 10th Floor,To ask,"15,177",101
9,275 7th Avenue - 17th Floor,To ask,"15,183",101
10,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
11,841 Broadway - 3rd Floor,To ask,"13,716",91
12,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
13,245 5th Avenue - 5th Floor,To ask,"13,627",90
14,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
15,245 5th Avenue - 2nd Floor,To ask,"14,209",94
16,622 Broadway - 5th Floor,To ask,"17,378",114
17,622 Broadway - 6th Floor,To ask,"17,112",115
18,622 Broadway - 3rd Floor,To ask,"17,384",115
19,622 Broadway - 4th Floor,To ask,"17,479",116
20,287 Park Avenue South - 9th Floor,To ask,"13,056",87
21,287 Park Avenue South - 8th Floor,To ask,"13,056",87
22,33 East 33rd Street - 12th Floor,To ask,"13,000",86
23,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
24,16 West 22nd Street - 8th Floor,45500,"13,000",86
25,33 East 33rd Street - 6th Floor,48851,"13,027",86
26,6 East 32nd Street - 5th Floor,To ask,"16,000",92
27,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
28,10 West 14th Street - 6th Floor,To ask,"13,191",106
29,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
30,6 East 32nd Street - 4th Floor,To ask,"16,000",103
31,71 5th Avenue - 11th Floor,To ask,"15,238",101
32,71 5th Avenue - 10th Floor,To ask,"15,177",101
33,275 7th Avenue - 17th Floor,To ask,"15,183",101
34,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
35,841 Broadway - 3rd Floor,To ask,"13,716",91
36,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
37,245 5th Avenue - 5th Floor,To ask,"13,627",90
38,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
39,245 5th Avenue - 2nd Floor,To ask,"14,209",94
40,622 Broadway - 5th Floor,To ask,"17,378",114
41,622 Broadway - 6th Floor,To ask,"17,112",115
42,622 Broadway - 3rd Floor,To ask,"17,384",115
43,622 Broadway - 4th Floor,To ask,"17,479",116
44,287 Park Avenue South - 9th Floor,To ask,"13,056",87
45,287 Park Avenue South - 8th Floor,To ask,"13,056",87
46,33 East 33rd Street - 12th Floor,To ask,"13,000",86
47,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
48,16 West 22nd Street - 8th Floor,45500,"13,000",86
49,33 East 33rd Street - 6th Floor,48851,"13,027",86
50,6 East 32nd Street - 5th Floor,To ask,"16,000",92
51,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
52,10 West 14th Street - 6th Floor,To ask,"13,191",106
53,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
54,6 East 32nd Street - 4th Floor,To ask,"16,000",103
55,71 5th Avenue - 11th Floor,To ask,"15,238",101
56,71 5th Avenue - 10th Floor,To ask,"15,177",101
57,275 7th Avenue - 17th Floor,To ask,"15,183",101
58,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
59,841 Broadway - 3rd Floor,To ask,"13,716",91
60,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
61,245 5th Avenue - 5th Floor,To ask,"13,627",90
62,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
63,245 5th Avenue - 2nd Floor,To ask,"14,209",94
64,622 Broadway - 5th Floor,To ask,"17,378",114
65,622 Broadway - 6th Floor,To ask,"17,112",115
66,622 Broadway - 3rd Floor,To ask,"17,384",115
67,622 Broadway - 4th Floor,To ask,"17,479",116
68,287 Park Avenue South - 9th Floor,To ask,"13,056",87
69,287 Park Avenue South - 8th Floor,To ask,"13,056",87
70,33 East 33rd Street - 12th Floor,To ask,"13,000",86
71,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
72,16 West 22nd Street - 8th Floor,45500,"13,000",86
73,33 East 33rd Street - 6th Floor,48851,"13,027",86
74,6 East 32nd Street - 5th Floor,To ask,"16,000",92
75,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
76,10 West 14th Street - 6th Floor,To ask,"13,191",106
77,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
78,6 East 32nd Street - 4th Floor,To ask,"16,000",103
79,71 5th Avenue - 11th Floor,To ask,"15,238",101
80,71 5th Avenue - 10th Floor,To ask,"15,177",101
81,275 7th Avenue - 17th Floor,To ask,"15,183",101
82,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
83,841 Broadway - 3rd Floor,To ask,"13,716",91
84,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
85,245 5th Avenue - 5th Floor,To ask,"13,627",90
86,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
87,245 5th Avenue - 2nd Floor,To ask,"14,209",94
88,622 Broadway - 5th Floor,To ask,"17,378",114
89,622 Broadway - 6th Floor,To ask,"17,112",115
90,622 Broadway - 3rd Floor,To ask,"17,384",115
91,622 Broadway - 4th Floor,To ask,"17,479",116
92,287 Park Avenue South - 9th Floor,To ask,"13,056",87
93,287 Park Avenue South - 8th Floor,To ask,"13,056",87
94,33 East 33rd Street - 12th Floor,To ask,"13,000",86
95,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
96,16 West 22nd Street - 8th Floor,45500,"13,000",86
97,33 East 33rd Street - 6th Floor,48851,"13,027",86
98,6 East 32nd Street - 5th Floor,To ask,"16,000",92
99,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
100,10 West 14th Street - 6th Floor,To ask,"13,191",106
101,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
102,6 East 32nd Street - 4th Floor,To ask,"16,000",103
103,71 5th Avenue - 11th Floor,To ask,"15,238",101
104,71 5th Avenue - 10th Floor,To ask,"15,177",101
105,275 7th Avenue - 17th Floor,To ask,"15,183",101
106,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
107,841 Broadway - 3rd Floor,To ask,"13,716",91
108,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
109,245 5th Avenue - 5th Floor,To ask,"13,627",90
110,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
111,245 5th Avenue - 2nd Floor,To ask,"14,209",94
112,622 Broadway - 5th Floor,To ask,"17,378",114
113,622 Broadway - 6th Floor,To ask,"17,112",115
114,622 Broadway - 3rd Floor,To ask,"17,384",115
115,622 Broadway - 4th Floor,To ask,"17,479",116
116,287 Park Avenue South - 9th Floor,To ask,"13,056",87
117,287 Park Avenue South - 8th Floor,To ask,"13,056",87
118,33 East 33rd Street - 12th Floor,To ask,"13,000",86
119,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
120,16 West 22nd Street - 8th Floor,45500,"13,000",86
121,33 East 33rd Street - 6th Floor,48851,"13,027",86
122,6 East 32nd Street - 5th Floor,To ask,"16,000",92
123,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
124,10 West 14th Street - 6th Floor,To ask,"13,191",106
125,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
126,6 East 32nd Street - 4th Floor,To ask,"16,000",103
127,71 5th Avenue - 11th Floor,To ask,"15,238",101
128,71 5th Avenue - 10th Floor,To ask,"15,177",101
129,275 7th Avenue - 17th Floor,To ask,"15,183",101
130,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
131,841 Broadway - 3rd Floor,To ask,"13,716",91
132,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
133,245 5th Avenue - 5th Floor,To ask,"13,627",90
134,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
135,245 5th Avenue - 2nd Floor,To ask,"14,209",94
136,622 Broadway - 5th Floor,To ask,"17,378",114
137,622 Broadway - 6th Floor,To ask,"17,112",115
138,622 Broadway - 3rd Floor,To ask,"17,384",115
139,622 Broadway - 4th Floor,To ask,"17,479",116
140,287 Park Avenue South - 9th Floor,To ask,"13,056",87
141,287 Park Avenue South - 8th Floor,To ask,"13,056",87
142,33 East 33rd Street - 12th Floor,To ask,"13,000",86
143,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
144,16 West 22nd Street - 8th Floor,45500,"13,000",86
145,33 East 33rd Street - 6th Floor,48851,"13,027",86
146,6 East 32nd Street - 5th Floor,To ask,"16,000",92
147,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
148,10 West 14th Street - 6th Floor,To ask,"13,191",106
149,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
150,6 East 32nd Street - 4th Floor,To ask,"16,000",103
151,71 5th Avenue - 11th Floor,To ask,"15,238",101
152,71 5th Avenue - 10th Floor,To ask,"15,177",101
153,275 7th Avenue - 17th Floor,To ask,"15,183",101
154,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
155,841 Broadway - 3rd Floor,To ask,"13,716",91
156,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
157,245 5th Avenue - 5th Floor,To ask,"13,627",90
158,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
159,245 5th Avenue - 2nd Floor,To ask,"14,209",94
160,622 Broadway - 5th Floor,To ask,"17,378",114
161,622 Broadway - 6th Floor,To ask,"17,112",115
162,622 Broadway - 3rd Floor,To ask,"17,384",115
163,622 Broadway - 4th Floor,To ask,"17,479",116
164,287 Park Avenue South - 9th Floor,To ask,"13,056",87
165,287 Park Avenue South - 8th Floor,To ask,"13,056",87
166,33 East 33rd Street - 12th Floor,To ask,"13,000",86
167,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
168,16 West 22nd Street - 8th Floor,45500,"13,000",86
169,33 East 33rd Street - 6th Floor,48851,"13,027",86
170,6 East 32nd Street - 5th Floor,To ask,"16,000",92
171,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
172,10 West 14th Street - 6th Floor,To ask,"13,191",106
173,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
174,6 East 32nd Street - 4th Floor,To ask,"16,000",103
175,71 5th Avenue - 11th Floor,To ask,"15,238",101
176,71 5th Avenue - 10th Floor,To ask,"15,177",101
177,275 7th Avenue - 17th Floor,To ask,"15,183",101
178,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
179,841 Broadway - 3rd Floor,To ask,"13,716",91
180,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
181,245 5th Avenue - 5th Floor,To ask,"13,627",90
182,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
183,245 5th Avenue - 2nd Floor,To ask,"14,209",94
184,622 Broadway - 5th Floor,To ask,"17,378",114
185,622 Broadway - 6th Floor,To ask,"17,112",115
186,622 Broadway - 3rd Floor,To ask,"17,384",115
187,622 Broadway - 4th Floor,To ask,"17,479",116
188,287 Park Avenue South - 9th Floor,To ask,"13,056",87
189,287 Park Avenue South - 8th Floor,To ask,"13,056",87
190,33 East 33rd Street - 12th Floor,To ask,"13,000",86
191,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
192,16 West 22nd Street - 8th Floor,45500,"13,000",86
193,33 East 33rd Street - 6th Floor,48851,"13,027",86
194,6 East 32nd Street - 5th Floor,To ask,"16,000",92
195,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
196,10 West 14th Street - 6th Floor,To ask,"13,191",106
197,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
198,6 East 32nd Street - 4th Floor,To ask,"16,000",103
199,71 5th Avenue - 11th Floor,To ask,"15,238",101
200,71 5th Avenue - 10th Floor,To ask,"15,177",101
201,275 7th Avenue - 17th Floor,To ask,"15,183",101
202,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
203,841 Broadway - 3rd Floor,To ask,"13,716",91
204,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
205,245 5th Avenue - 5th Floor,To ask,"13,627",90
206,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
207,245 5th Avenue - 2nd Floor,To ask,"14,209",94
208,622 Broadway - 5th Floor,To ask,"17,378",114
209,622 Broadway - 6th Floor,To ask,"17,112",115
210,622 Broadway - 3rd Floor,To ask,"17,384",115
211,622 Broadway - 4th Floor,To ask,"17,479",116
212,287 Park Avenue South - 9th Floor,To ask,"13,056",87
213,287 Park Avenue South - 8th Floor,To ask,"13,056",87
214,33 East 33rd Street - 12th Floor,To ask,"13,000",86
215,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
216,16 West 22nd Street - 8th Floor,45500,"13,000",86
217,33 East 33rd Street - 6th Floor,48851,"13,027",86
218,6 East 32nd Street - 5th Floor,To ask,"16,000",92
219,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
220,10 West 14th Street - 6th Floor,To ask,"13,191",106
221,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
222,6 East 32nd Street - 4th Floor,To ask,"16,000",103
223,71 5th Avenue - 11th Floor,To ask,"15,238",101
224,71 5th Avenue - 10th Floor,To ask,"15,177",101
225,275 7th Avenue - 17th Floor,To ask,"15,183",101
226,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
227,841 Broadway - 3rd Floor,To ask,"13,716",91
228,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
229,245 5th Avenue - 5th Floor,To ask,"13,627",90
230,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
231,245 5th Avenue - 2nd Floor,To ask,"14,209",94
232,622 Broadway - 5th Floor,To ask,"17,378",114
233,622 Broadway - 6th Floor,To ask,"17,112",115
234,622 Broadway - 3rd Floor,To ask,"17,384",115
235,622 Broadway - 4th Floor,To ask,"17,479",116
236,287 Park Avenue South - 9th Floor,To ask,"13,056",87
237,287 Park Avenue South - 8th Floor,To ask,"13,056",87
238,33 East 33rd Street - 12th Floor,To ask,"13,000",86
239,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
240,16 West 22nd Street - 8th Floor,45500,"13,000",86
241,33 East 33rd Street - 6th Floor,48851,"13,027",86
242,6 East 32nd Street - 5th Floor,To ask,"16,000",92
243,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
244,10 West 14th Street - 6th Floor,To ask,"13,191",106
245,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
246,6 East 32nd Street - 4th Floor,To ask,"16,000",103
247,71 5th Avenue - 11th Floor,To ask,"15,238",101
248,71 5th Avenue - 10th Floor,To ask,"15,177",101
249,275 7th Avenue - 17th Floor,To ask,"15,183",101
250,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
251,841 Broadway - 3rd Floor,To ask,"13,716",91
252,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
253,245 5th Avenue - 5th Floor,To ask,"13,627",90
254,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
255,245 5th Avenue - 2nd Floor,To ask,"14,209",94
256,622 Broadway - 5th Floor,To ask,"17,378",114
257,622 Broadway - 6th Floor,To ask,"17,112",115
258,622 Broadway - 3rd Floor,To ask,"17,384",115
259,622 Broadway - 4th Floor,To ask,"17,479",116
260,287 Park Avenue South - 9th Floor,To ask,"13,056",87
261,287 Park Avenue South - 8th Floor,To ask,"13,056",87
262,33 East 33rd Street - 12th Floor,To ask,"13,000",86
263,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
264,16 West 22nd Street - 8th Floor,45500,"13,000",86
265,33 East 33rd Street - 6th Floor,48851,"13,027",86
266,6 East 32nd Street - 5th Floor,To ask,"16,000",92
267,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
268,10 West 14th Street - 6th Floor,To ask,"13,191",106
269,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
270,6 East 32nd Street - 4th Floor,To ask,"16,000",103
271,71 5th Avenue - 11th Floor,To ask,"15,238",101
272,71 5th Avenue - 10th Floor,To ask,"15,177",101
273,275 7th Avenue - 17th Floor,To ask,"15,183",101
274,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
275,841 Broadway - 3rd Floor,To ask,"13,716",91
276,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
277,245 5th Avenue - 5th Floor,To ask,"13,627",90
278,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
279,245 5th Avenue - 2nd Floor,To ask,"14,209",94
280,622 Broadway - 5th Floor,To ask,"17,378",114
281,622 Broadway - 6th Floor,To ask,"17,112",115
282,622 Broadway - 3rd Floor,To ask,"17,384",115
283,622 Broadway - 4th Floor,To ask,"17,479",116
284,287 Park Avenue South - 9th Floor,To ask,"13,056",87
285,287 Park Avenue South - 8th Floor,To ask,"13,056",87
286,33 East 33rd Street - 12th Floor,To ask,"13,000",86
287,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
288,16 West 22nd Street - 8th Floor,45500,"13,000",86
289,33 East 33rd Street - 6th Floor,48851,"13,027",86
290,6 East 32nd Street - 5th Floor,To ask,"16,000",92
291,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
292,10 West 14th Street - 6th Floor,To ask,"13,191",106
293,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
294,6 East 32nd Street - 4th Floor,To ask,"16,000",103
295,71 5th Avenue - 11th Floor,To ask,"15,238",101
296,71 5th Avenue - 10th Floor,To ask,"15,177",101
297,275 7th Avenue - 17th Floor,To ask,"15,183",101
298,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
299,841 Broadway - 3rd Floor,To ask,"13,716",91
300,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
301,245 5th Avenue - 5th Floor,To ask,"13,627",90
302,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
303,245 5th Avenue - 2nd Floor,To ask,"14,209",94
304,622 Broadway - 5th Floor,To ask,"17,378",114
305,622 Broadway - 6th Floor,To ask,"17,112",115
306,622 Broadway - 3rd Floor,To ask,"17,384",115
307,622 Broadway - 4th Floor,To ask,"17,479",116
308,287 Park Avenue South - 9th Floor,To ask,"13,056",87
309,287 Park Avenue South - 8th Floor,To ask,"13,056",87
310,33 East 33rd Street - 12th Floor,To ask,"13,000",86
311,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
312,16 West 22nd Street - 8th Floor,45500,"13,000",86
313,33 East 33rd Street - 6th Floor,48851,"13,027",86
314,6 East 32nd Street - 5th Floor,To ask,"16,000",92
315,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
316,10 West 14th Street - 6th Floor,To ask,"13,191",106
317,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
318,6 East 32nd Street - 4th Floor,To ask,"16,000",103
319,71 5th Avenue - 11th Floor,To ask,"15,238",101
320,71 5th Avenue - 10th Floor,To ask,"15,177",101
321,275 7th Avenue - 17th Floor,To ask,"15,183",101
322,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
323,841 Broadway - 3rd Floor,To ask,"13,716",91
324,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
325,245 5th Avenue - 5th Floor,To ask,"13,627",90
326,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
327,245 5th Avenue - 2nd Floor,To ask,"14,209",94
328,622 Broadway - 5th Floor,To ask,"17,378",114
329,622 Broadway - 6th Floor,To ask,"17,112",115
330,622 Broadway - 3rd Floor,To ask,"17,384",115
331,622 Broadway - 4th Floor,To ask,"17,479",116
332,287 Park Avenue South - 9th Floor,To ask,"13,056",87
333,287 Park Avenue South - 8th Floor,To ask,"13,056",87
334,33 East 33rd Street - 12th Floor,To ask,"13,000",86
335,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
336,16 West 22nd Street - 8th Floor,45500,"13,000",86
337,33 East 33rd Street - 6th Floor,48851,"13,027",86
338,6 East 32nd Street - 5th Floor,To ask,"16,000",92
339,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
340,10 West 14th Street - 6th Floor,To ask,"13,191",106
341,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
342,6 East 32nd Street - 4th Floor,To ask,"16,000",103
343,71 5th Avenue - 11th Floor,To ask,"15,238",101
344,71 5th Avenue - 10th Floor,To ask,"15,177",101
345,275 7th Avenue - 17th Floor,To ask,"15,183",101
346,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
347,841 Broadway - 3rd Floor,To ask,"13,716",91
348,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
349,245 5th Avenue - 5th Floor,To ask,"13,627",90
350,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
351,245 5th Avenue - 2nd Floor,To ask,"14,209",94
352,622 Broadway - 5th Floor,To ask,"17,378",114
353,622 Broadway - 6th Floor,To ask,"17,112",115
354,622 Broadway - 3rd Floor,To ask,"17,384",115
355,622 Broadway - 4th Floor,To ask,"17,479",116
356,287 Park Avenue South - 9th Floor,To ask,"13,056",87
357,287 Park Avenue South - 8th Floor,To ask,"13,056",87
358,33 East 33rd Street - 12th Floor,To ask,"13,000",86
359,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
360,16 West 22nd Street - 8th Floor,45500,"13,000",86
361,33 East 33rd Street - 6th Floor,48851,"13,027",86
362,6 East 32nd Street - 5th Floor,To ask,"16,000",92
363,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
364,10 West 14th Street - 6th Floor,To ask,"13,191",106
365,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
366,6 East 32nd Street - 4th Floor,To ask,"16,000",103
367,71 5th Avenue - 11th Floor,To ask,"15,238",101
368,71 5th Avenue - 10th Floor,To ask,"15,177",101
369,275 7th Avenue - 17th Floor,To ask,"15,183",101
370,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
371,841 Broadway - 3rd Floor,To ask,"13,716",91
372,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
373,245 5th Avenue - 5th Floor,To ask,"13,627",90
374,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
375,245 5th Avenue - 2nd Floor,To ask,"14,209",94
376,622 Broadway - 5th Floor,To ask,"17,378",114
377,622 Broadway - 6th Floor,To ask,"17,112",115
378,622 Broadway - 3rd Floor,To ask,"17,384",115
379,622 Broadway - 4th Floor,To ask,"17,479",116
380,287 Park Avenue South - 9th Floor,To ask,"13,056",87
381,287 Park Avenue South - 8th Floor,To ask,"13,056",87
382,33 East 33rd Street - 12th Floor,To ask,"13,000",86
383,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
384,16 West 22nd Street - 8th Floor,45500,"13,000",86
385,33 East 33rd Street - 6th Floor,48851,"13,027",86
386,6 East 32nd Street - 5th Floor,To ask,"16,000",92
387,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
388,10 West 14th Street - 6th Floor,To ask,"13,191",106
389,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
390,6 East 32nd Street - 4th Floor,To ask,"16,000",103
391,71 5th Avenue - 11th Floor,To ask,"15,238",101
392,71 5th Avenue - 10th Floor,To ask,"15,177",101
393,275 7th Avenue - 17th Floor,To ask,"15,183",101
394,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
395,841 Broadway - 3rd Floor,To ask,"13,716",91
396,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
397,245 5th Avenue - 5th Floor,To ask,"13,627",90
398,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
399,245 5th Avenue - 2nd Floor,To ask,"14,209",94
400,622 Broadway - 5th Floor,To ask,"17,378",114
401,622 Broadway - 6th Floor,To ask,"17,112",115
402,622 Broadway - 3rd Floor,To ask,"17,384",115
403,622 Broadway - 4th Floor,To ask,"17,479",116
404,287 Park Avenue South - 9th Floor,To ask,"13,056",87
405,287 Park Avenue South - 8th Floor,To ask,"13,056",87
406,33 East 33rd Street - 12th Floor,To ask,"13,000",86
407,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
408,16 West 22nd Street - 8th Floor,45500,"13,000",86
409,33 East 33rd Street - 6th Floor,48851,"13,027",86
410,6 East 32nd Street - 5th Floor,To ask,"16,000",92
411,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
412,10 West 14th Street - 6th Floor,To ask,"13,191",106
413,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
414,6 East 32nd Street - 4th Floor,To ask,"16,000",103
415,71 5th Avenue - 11th Floor,To ask,"15,238",101
416,71 5th Avenue - 10th Floor,To ask,"15,177",101
417,275 7th Avenue - 17th Floor,To ask,"15,183",101
418,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
419,841 Broadway - 3rd Floor,To ask,"13,716",91
420,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
421,245 5th Avenue - 5th Floor,To ask,"13,627",90
422,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
423,245 5th Avenue - 2nd Floor,To ask,"14,209",94
424,622 Broadway - 5th Floor,To ask,"17,378",114
425,622 Broadway - 6th Floor,To ask,"17,112",115
426,622 Broadway - 3rd Floor,To ask,"17,384",115
427,622 Broadway - 4th Floor,To ask,"17,479",116
428,287 Park Avenue South - 9th Floor,To ask,"13,056",87
429,287 Park Avenue South - 8th Floor,To ask,"13,056",87
430,33 East 33rd Street - 12th Floor,To ask,"13,000",86
431,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
432,16 West 22nd Street - 8th Floor,45500,"13,000",86
433,33 East 33rd Street - 6th Floor,48851,"13,027",86
434,6 East 32nd Street - 5th Floor,To ask,"16,000",92
435,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
436,10 West 14th Street - 6th Floor,To ask,"13,191",106
437,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
438,6 East 32nd Street - 4th Floor,To ask,"16,000",103
439,71 5th Avenue - 11th Floor,To ask,"15,238",101
440,71 5th Avenue - 10th Floor,To ask,"15,177",101
441,275 7th Avenue - 17th Floor,To ask,"15,183",101
442,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
443,841 Broadway - 3rd Floor,To ask,"13,716",91
444,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
445,245 5th Avenue - 5th Floor,To ask,"13,627",90
446,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
447,245 5th Avenue - 2nd Floor,To ask,"14,209",94
448,622 Broadway - 5th Floor,To ask,"17,378",114
449,622 Broadway - 6th Floor,To ask,"17,112",115
450,622 Broadway - 3rd Floor,To ask,"17,384",115
451,622 Broadway - 4th Floor,To ask,"17,479",116
452,287 Park Avenue South - 9th Floor,To ask,"13,056",87
453,287 Park Avenue South - 8th Floor,To ask,"13,056",87
454,33 East 33rd Street - 12th Floor,To ask,"13,000",86
455,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
456,16 West 22nd Street - 8th Floor,45500,"13,000",86
457,33 East 33rd Street - 6th Floor,48851,"13,027",86
458,6 East 32nd Street - 5th Floor,To ask,"16,000",92
459,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
460,10 West 14th Street - 6th Floor,To ask,"13,191",106
461,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
462,6 East 32nd Street - 4th Floor,To ask,"16,000",103
463,71 5th Avenue - 11th Floor,To ask,"15,238",101
464,71 5th Avenue - 10th Floor,To ask,"15,177",101
465,275 7th Avenue - 17th Floor,To ask,"15,183",101
